AhAc,Kd7d,2c 5d 6d 5s Th,Aces and Fives,Pair of Fives,P0,(null)
AsAh,Kc7c,2c 5d 6d 2d 9h,Aces and Deuces,Pair of Deuces,P0,(null)
AhAs,KdJd,2c 5d 6d Qd Ks,Pair of Aces,King-High Flush,P1,(null)
AhAs,KhQh,2c 5d 6d 5s 9h,Aces and Fives,Pair of Fives,P0,(null)
AhAs,Kh8h,2c 5d 6d Kc 4s,Pair of Aces,Pair of Kings,P0,(null)
AdAh,Kh8h,2c 5d 6d Jh 9d,Pair of Aces,King-High,P0,(null)
AsAd,Ks9s,2c 5d 6d 4h 4c,Aces and Fours,Pair of Fours,P0,(null)
AcAh,Kd9d,2c 5d 6d Jc 9h,Pair of Aces,Pair of Nines,P0,(null)
AsAd,2h2s,2c 5d 6d 9s 7d,Pair of Aces,Three Deuces,P1,(null)
AhAs,KsJs,2c 5d 6d Qh Kh,Pair of Aces,Pair of Kings,P0,(null)
AsAh,Ks9s,2c 5d 6d Qh Jc,Pair of Aces,King-High,P0,(null)
AsAd,KdTd,2c 5d 6d Jd 6s,Aces and Sixes,King-High Flush,P1,(null)
AdAh,KhTh,2c 5d 6d 2h Kc,Aces and Deuces,Kings and Deuces,P0,(null)
AdAh,Kh7h,2c 5d 6d Td 6h,Aces and Sixes,Pair of Sixes,P0,(null)
AsAd,Kh7h,2c 5d 6d 9s 9d,Aces and Nines,Pair of Nines,P0,(null)
AcAs,2d2h,2c 5d 6d Kd Ts,Pair of Aces,Three Deuces,P1,(null)
AhAc,2h2s,2c 5d 6d 5s 6h,Aces and Sixes,Deuces Full over Sixes,P1,(null)
AhAc,Kd8d,2c 5d 6d 3s 5h,Aces and Fives,Pair of Fives,P0,(null)
AhAd,KdQd,2c 5d 6d 7c 4d,Pair of Aces,King-High Flush,P1,(null)
AcAh,2h2d,2c 5d 6d 8s 4c,Pair of Aces,Three Deuces,P1,(null)
AsAc,Kh8h,2c 5d 6d Ts Th,Aces and Tens,Pair of Tens,P0,(null)
AsAd,Kh7h,2c 5d 6d 5h Qc,Aces and Fives,Pair of Fives,P0,(null)
AdAh,Kc8c,2c 5d 6d 9h Jc,Pair of Aces,King-High,P0,(null)
AhAs,Kd7d,2c 5d 6d 6s Tc,Aces and Sixes,Pair of Sixes,P0,(null)
AsAd,KdJd,2c 5d 6d 2s 9d,Aces and Deuces,King-High Flush,P1,(null)
AdAs,KdTd,2c 5d 6d 5s 7c,Aces and Fives,Pair of Fives,P0,(null)
AhAs,Kh9h,2c 5d 6d Th Kd,Pair of Aces,Pair of Kings,P0,(null)
AdAh,KdTd,2c 5d 6d 4h 4c,Aces and Fours,Pair of Fours,P0,(null)
AhAc,KcQc,2c 5d 6d 3h 2d,Aces and Deuces,Pair of Deuces,P0,(null)
AsAc,KhTh,2c 5d 6d 3h 5s,Aces and Fives,Pair of Fives,P0,(null)
AhAs,Kc8c,2c 5d 6d 4c 6s,Aces and Sixes,Pair of Sixes,P0,(null)
AcAd,Kd9d,2c 5d 6d 2s 7h,Aces and Deuces,Pair of Deuces,P0,(null)
AhAs,KcQc,2c 5d 6d Tc 8c,Pair of Aces,King-High Flush,P1,(null)
AdAs,2h2s,2c 5d 6d 5s Jd,Aces and Fives,Deuces Full over Fives,P1,(null)
AdAc,Ks7s,2c 5d 6d Qd 7h,Pair of Aces,Pair of Sevens,P0,(null)
AhAd,2s2d,2c 5d 6d 8d 5c,Aces and Fives,Deuces Full over Fives,P1,(null)
AcAh,KcQc,2c 5d 6d 8s Kh,Pair of Aces,Pair of Kings,P0,(null)
AcAd,KsJs,2c 5d 6d 8h As,Three Aces,Ace-High,P0,(null)
AhAd,2d2s,2c 5d 6d 7h 8c,Pair of Aces,Three Deuces,P1,(null)
AsAh,Kc7c,2c 5d 6d 5h 5s,Fives Full over Aces,Three Fives,P0,(null)
AdAc,Ks8s,2c 5d 6d Ts Jd,Pair of Aces,King-High,P0,(null)
AhAs,2s2h,2c 5d 6d 5s 9c,Aces and Fives,Deuces Full over Fives,P1,(null)
