70;70.14;(>Q3o,22,43s);22+,A2+,K2+,Q2s+,J2s+,Q3o+,T2s+,J5o+,93s+,T6o+,84s+,96o+,74s+,63s+,86o+,53s+,76o,43s
71;70.74;(>Q3o,22,73s);22+,A2+,K2+,Q2s+,J2s+,Q3o+,T2s+,J5o+,92s+,T6o+,84s+,96o+,73s+,63s+,86o+,53s+,76o,43s
72;71.64;(>Q3o,22,65o);22+,A2+,K2+,Q2s+,J2s+,Q3o+,T2s+,J5o+,92s+,T6o+,84s+,96o+,73s+,63s+,86o+,53s+,76o,43s,65o
73;72.55;(>Q2o,22,65o);22+,A2+,K2+,Q2+,J2s+,T2s+,J5o+,92s+,T6o+,84s+,96o+,73s+,63s+,86o+,53s+,76o,43s,65o
74;73.76;(>J4o,22,83s);22+,A2+,K2+,Q2+,J2s+,T2s+,J4o+,92s+,T6o+,83s+,96o+,73s+,63s+,86o+,53s+,76o,43s,65o
75;74.96;(>J4o,22,52s);22+,A2+,K2+,Q2+,J2s+,T2s+,J4o+,92s+,T6o+,83s+,96o+,73s+,63s+,86o+,52s+,75o+,43s,65o
76;76.17;(>J4o,22,82s);22+,A2+,K2+,Q2+,J2s+,T2s+,J4o+,92s+,T6o+,82s+,96o+,73s+,63s+,85o+,52s+,75o+,43s,65o
77;77.07;(>J4o,22,T5o);22+,A2+,K2+,Q2+,J2s+,T2s+,J4o+,92s+,T5o+,82s+,96o+,73s+,63s+,85o+,52s+,75o+,43s,65o
78;77.98;(>J4o,22,95o);22+,A2+,K2+,Q2+,J2s+,T2s+,J4o+,92s+,T5o+,82s+,95o+,73s+,63s+,85o+,52s+,75o+,43s,65o
79;78.88;(>J3o,22,95o);22+,A2+,K2+,Q2+,J2s+,T2s+,J3o+,92s+,T5o+,82s+,95o+,73s+,63s+,85o+,52s+,75o+,43s,65o
80;80.09;(>J3o,22,54o);22+,A2+,K2+,Q2+,J2s+,T2s+,J3o+,92s+,T5o+,82s+,95o+,73s+,62s+,85o+,52s+,75o+,43s,65o,54o
81;81.3;(>J3o,22,T4o);22+,A2+,K2+,Q2+,J2s+,T2s+,J3o+,92s+,T4o+,82s+,95o+,73s+,62s+,85o+,52s+,75o+,42s+,65o,54o
82;82.2;(>J2o,22,T4o);22+,A2+,K2+,Q2+,J2+,T2s+,92s+,T4o+,82s+,95o+,73s+,62s+,85o+,52s+,75o+,42s+,65o,54o
83;83.41;(>T4o,22,64o);22+,A2+,K2+,Q2+,J2+,T2s+,92s+,T4o+,82s+,95o+,72s+,62s+,85o+,52s+,75o+,42s+,64o+,54o
84;84.31;(>T3o,22,64o);22+,A2+,K2+,Q2+,J2+,T2s+,92s+,T3o+,82s+,95o+,72s+,62s+,85o+,52s+,75o+,42s+,64o+,54o
